series_name,episode,series_ep,season,season_ep,url,user_rating,user_votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,assinantes,ano
House of Cards,Chapter 1,1,1,1,http://www.imdb.com/title/tt2161930/,8.7,5517,0.004349402,0.00108735,0.001631026,0.002355926,0.013954331,0.025009061,0.087350489,0.25570859,0.351576658,0.256977166,40.28,2013
House of Cards,Chapter 2,2,1,2,http://www.imdb.com/title/tt2248422/,8.7,4349,0.005862647,0.001675042,0.001675042,0.002512563,0.006420994,0.033221664,0.131769961,0.411501954,0.221105528,0.184254606,40.28,2013
House of Cards,Chapter 3,3,1,3,http://www.imdb.com/title/tt2248426/,8.4,3829,0.005946792,0.001564945,9.39E-04,0.001564945,0.004694836,0.02942097,0.096087637,0.29170579,0.343348983,0.224726135,40.28,2013
House of Cards,Chapter 4,4,1,4,http://www.imdb.com/title/tt2248444/,8.3,3580,0.005744125,0.001305483,0.001044386,0.001305483,0.007832898,0.034725849,0.120104439,0.373368146,0.263185379,0.191383812,40.28,2013
House of Cards,Chapter 5,5,1,5,http://www.imdb.com/title/tt2250466/,8.5,3495,0.004597701,0.00137931,6.90E-04,9.20E-04,0.006666667,0.023908046,0.08137931,0.280229885,0.369655172,0.230574713,40.28,2013
House of Cards,Chapter 6,6,1,6,http://www.imdb.com/title/tt2294870/,8.6,3489,0.006006865,0.001144165,0.001144165,0.00228833,0.007437071,0.028604119,0.097826087,0.334382151,0.308638444,0.212528604,40.28,2013
House of Cards,Chapter 7,7,1,7,http://www.imdb.com/title/tt2311910/,8.3,3281,0.006303725,0.00286533,8.60E-04,0.003151862,0.008022923,0.023495702,0.095702006,0.275644699,0.336389685,0.24756447,40.28,2013
House of Cards,Chapter 8,8,1,8,http://www.imdb.com/title/tt2311926/,7.9,3431,0.005790917,0.002133496,0.001219141,0.002438281,0.008229198,0.032612009,0.154221274,0.403840293,0.201462969,0.188052423,40.28,2013
House of Cards,Chapter 9,9,1,9,http://www.imdb.com/title/tt2312714/,8.6,3192,0.010201108,0.004371903,0.002623142,0.007286505,0.02681434,0.089769746,0.223549985,0.33838531,0.132614398,0.164383562,40.28,2013
House of Cards,Chapter 10,10,1,10,http://www.imdb.com/title/tt2440660/,8.8,3231,0.00789177,0.002254791,0.001127396,0.001127396,0.005918828,0.012683202,0.040586246,0.156426156,0.353156708,0.418827508,40.28,2013
House of Cards,Chapter 11,11,1,11,http://www.imdb.com/title/tt2468204/,9.1,3547,0.005878713,0.001856436,0.001237624,0.00154703,0.006188119,0.016707921,0.065284653,0.236386139,0.390160891,0.274752475,40.28,2013
House of Cards,Chapter 12,12,1,12,http://www.imdb.com/title/tt2555986/,8.6,3109,0.00707623,0.001608234,6.43E-04,0.001286587,0.008041171,0.01929881,0.091669347,0.301383081,0.33193953,0.237053715,40.28,2013
House of Cards,Chapter 13,13,1,13,http://www.imdb.com/title/tt2555988/,8.9,3422,0.007011394,0.00204499,0.001168566,0.001168566,0.005842828,0.01665206,0.058136138,0.194858311,0.379783815,0.333333333,40.28,2013
House of Cards,Chapter 14,14,2,1,http://www.imdb.com/title/tt2811510/,9.6,6617,0.007098626,9.06E-04,0.001057242,6.04E-04,0.002869657,0.010119317,0.01646277,0.055429693,0.18109047,0.724361879,48.36,2014
House of Cards,Chapter 15,15,2,2,http://www.imdb.com/title/tt2990016/,8.5,3098,0.008417508,0.001010101,0.001346801,0.002020202,0.009090909,0.027272727,0.083838384,0.288888889,0.327609428,0.250505051,48.36,2014
House of Cards,Chapter 16,16,2,3,http://www.imdb.com/title/tt3001906/,8.6,2969,0.016671628,0.001786246,0.001786246,0.001786246,0.005656445,0.011610598,0.036618041,0.151830902,0.328371539,0.443882108,48.36,2014
House of Cards,Chapter 17,17,2,4,http://www.imdb.com/title/tt3001926/,9.1,3357,0.00890948,0.002138275,0.001425517,0.003563792,0.007840342,0.030292231,0.109408411,0.334640057,0.292587313,0.209194583,48.36,2014
House of Cards,Chapter 18,18,2,5,http://www.imdb.com/title/tt3147682/,8.5,2805,0.008468336,0.001104566,0.001104566,0.001472754,0.00736377,0.023564065,0.1089838,0.312223859,0.310382916,0.22533137,48.36,2014
House of Cards,Chapter 19,19,2,6,http://www.imdb.com/title/tt3147690/,8.5,2724,0.008471455,0.001473297,0.001473297,7.37E-04,0.007734807,0.021731123,0.079189687,0.272559853,0.357642726,0.248987109,48.36,2014
House of Cards,Chapter 20,20,2,7,http://www.imdb.com/title/tt3186026/,8.5,2714,0.007531667,0.001369394,0.001711743,0.001711743,0.004792879,0.020540911,0.045532352,0.169120164,0.37932215,0.368366998,48.36,2014
House of Cards,Chapter 21,21,2,8,http://www.imdb.com/title/tt3221190/,8.7,2714,0.008064516,0.001612903,3.23E-04,0.001935484,0.010322581,0.028064516,0.109354839,0.318064516,0.313548387,0.208709677,48.36,2014
House of Cards,Chapter 22,22,2,9,http://www.imdb.com/title/tt3221232/,9,2920,0.009174312,0.00146789,7.34E-04,0.004036697,0.008073394,0.023486239,0.108623853,0.349724771,0.28440367,0.210275229,48.36,2014
House of Cards,Chapter 23,23,2,10,http://www.imdb.com/title/tt3221270/,8.5,2665,0.019872516,0.002624672,0.002249719,0.002624672,0.006749156,0.022122235,0.102362205,0.344581927,0.279715036,0.217097863,48.36,2014
House of Cards,Chapter 24,24,2,11,http://www.imdb.com/title/tt3297502/,8.8,2934,0.028620102,0.002725724,0.002725724,0.00306644,0.008177172,0.018057922,0.060988075,0.218398637,0.341396934,0.315843271,48.36,2014
House of Cards,Chapter 25,25,2,12,http://www.imdb.com/title/tt3326204/,9,2782,0.008983112,0.001077973,0.001077973,0.002874596,0.004311894,0.015450952,0.053539346,0.175709666,0.377650018,0.35932447,48.36,2014
House of Cards,Chapter 26,26,2,13,http://www.imdb.com/title/tt3326208/,9.6,4867,0.01539093,0.002052124,0.001846912,0.002052124,0.003488611,0.005335522,0.016416992,0.060127232,0.173814898,0.719474656,48.36,2014
House of Cards,Chapter 27,27,3,1,http://www.imdb.com/title/tt3513862/,8.2,3188,0.014424585,0.002195045,0.004076513,0.005957981,0.015992474,0.046723111,0.147381624,0.360614613,0.216995923,0.185638131,62.27,2015
