season,ep_id,n_importante,n_secundario,n_total
1,1,0,4,4
1,2,0,2,2
1,3,0,0,0
1,4,0,1,1
1,5,0,5,5
1,6,1,3,4
1,7,1,1,2
1,8,0,6,6
1,9,1,1,2
1,10,1,1,2
2,1,0,2,2
2,2,0,1,1
2,3,0,2,2
2,4,0,3,3
2,5,1,3,4
2,6,0,5,5
2,7,0,5,5
2,8,0,3,3
2,9,0,2,2
2,10,0,6,6
3,1,0,0,0
3,2,0,1,1
3,3,0,1,1
3,4,0,4,4
3,5,0,3,3
3,6,0,6,6
3,7,0,0,0
3,8,0,3,3
3,9,3,3,6
3,10,0,1,1
4,1,0,2,2
4,2,1,2,3
4,3,0,4,4
4,4,0,1,1
4,5,0,3,3
4,6,0,0,0
4,7,0,4,4
4,8,1,3,4
4,9,1,9,10
4,10,2,2,4
5,1,0,2,2
5,2,0,2,2
5,3,0,1,1
5,4,0,3,3
5,5,0,1,1
5,6,0,1,1
5,7,0,2,2
5,8,0,4,4
5,9,0,2,2
5,10,2,4,6
6,1,0,5,5
6,2,0,5,5
6,3,0,7,7
6,4,0,4,4
6,5,0,4,4
6,6,0,1,1
6,7,0,2,2
6,8,0,11,11
6,9,1,5,6
6,10,3,8,11
